SPECIES,Sp_Rel_Code,Q1,W1,Q2,Relationship,AveDIST,Colony.Specific.Foraging.Distance,Col.All_Summer_Flower_Cover_Prop,Col.Worker_Preferred_Summer_Flower_Cover_Prop,Col.All_Spring_Flower_Cover_Prop,Col.Queen_Visited_Spring_Flower_Cover_Prop,Col.Spring_Plus_Summer_Flower_Cover_Prop,Col.Arable,Col.Mixed.Vegetation,Col.Nesting_high,250.All_Summer_Flower_Cover_Prop,250.Worker_Preferred_Summer_Flower_Cover_Prop,250.All_Spring_Flower_Cover_Prop,250.Queen_Visited_Spring_Flower_Cover_Prop,250.Spring_Plus_Summer_Flower_Cover_Prop,250.Arable,250.Mixed.Vegetation,250.Nesting_high,500.All_Summer_Flower_Cover_Prop,500.Worker_Preferred_Summer_Flower_Cover_Prop,500.All_Spring_Flower_Cover_Prop,500.Queen_Visited_Spring_Flower_Cover_Prop,500.Spring_Plus_Summer_Flower_Cover_Prop,500.Arable,500.Mixed.Vegetation,500.Nesting_high,1000.All_Summer_Flower_Cover_Prop,1000.Worker_Preferred_Summer_Flower_Cover_Prop,1000.All_Spring_Flower_Cover_Prop,1000.Queen_Visited_Spring_Flower_Cover_Prop,1000.Spring_Plus_Summer_Flower_Cover_Prop,1000.Arable,1000.Mixed.Vegetation,1000.Nesting_high
Blap,Blap_4,0,3,1,Workers 2011 to sister Queens 2012,1480.89,386.333333,0.737786,0.033197,0.526806,0.474443,0.50764,0.469427,0.128484,0.225648,0.720353,0.034534,0.379386,0.326305,0.360839,0.292793,0.112803,0.371191,0.731586,0.031003,0.558198,0.509233,0.540236,0.535253,0.138994,0.174173,0.551873,0.019688,0.401729,0.366148,0.385836,0.716854,0.104314,0.122748
Blap,Blap_28,0,7,1,Workers 2011 to sister Queens 2012,634.94,421.8571429,0.742018878,0.031131797,0.530647912,0.486317971,0.517449768,0.542002957,0.138654462,0.172610498,0.780368667,0.021458351,0.552008336,0.503512095,0.524970446,0.506073403,0.092060545,0.200949544,0.723305912,0.031495786,0.532097449,0.485850711,0.517346497,0.565246016,0.150793159,0.148363786,0.546476221,0.017929839,0.364873052,0.32940429,0.347334129,0.720443358,0.10255977,0.115765694
Blap,Blap_32,0,5,1,Workers 2011 to sister Queens 2012,855.05,328.2,0.168982452,0.021859915,0.185845102,0.093523658,0.115383573,0.820865653,0.064918879,0.176285251,0.101182673,0.012397425,0.155602933,0.112044466,0.124441891,0.871719261,0.067062059,0.170722646,0.287149077,0.031113804,0.23776658,0.074286938,0.105400742,0.728209896,0.088451234,0.141027854,0.391504413,0.016620343,0.262344644,0.085742728,0.102363071,0.639035581,0.088617966,0.193962294
Blap,Blap_51,0,4,1,Workers 2011 to sister Queens 2012,1297.32,363.75,0.740226134,0.030941293,0.484851579,0.431375621,0.462316914,0.460356313,0.157120844,0.20026,0.767066441,0.019031337,0.507341989,0.450914748,0.469946085,0.458951316,0.117173201,0.215443036,0.704025793,0.032539026,0.487771241,0.431221598,0.463760624,0.514469666,0.172154526,0.153489842,0.547482141,0.018363877,0.35201597,0.31618122,0.334545097,0.718349531,0.101513769,0.122449814
Blap,Blap_102,0,1,1,Workers 2011 to sister Queens 2012,1177.53,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blap,Blap_130,0,5,1,Workers 2011 to sister Queens 2012,733.75,708.8,0.665487966,0.028917368,0.420329141,0.361321651,0.390239019,0.620847795,0.153343843,0.117383682,0.783672468,0.017042068,0.562780827,0.511370345,0.528412413,0.537301798,0.116651827,0.149234731,0.698737635,0.031777209,0.467623264,0.414117297,0.445894506,0.53337369,0.17086395,0.142044937,0.544818364,0.017704049,0.342054298,0.306248021,0.32395207,0.71347516,0.100753404,0.119880769
Blap,Blap_156,0,2,1,Workers 2011 to sister Queens 2012,196.42,364.5,0.711285238,0.010605171,0.667730825,0.655675415,0.666280586,0.860808372,0.059616958,0.080854583,0.803755016,0.00546551,0.753689058,0.740533843,0.745999353,0.881550646,0.069952168,0.029966746,0.619827781,0.008465973,0.59500882,0.584084222,0.592550195,0.800866497,0.051407308,0.105949469,0.324110933,0.008621625,0.383652641,0.374970448,0.383592073,0.558758269,0.049272436,0.122056981
Blap,Blap_161,0,2,1,Workers 2011 to sister Queens 2012,1143.55,45,0.629598399,0.139600532,0.149073425,0.034102416,0.173702948,0,0.997146657,0,0.622596959,0.062753589,0.311464316,0.1733625,0.236116089,0.156074711,0.464398543,0.085694159,0.681898272,0.034949404,0.326491357,0.219368602,0.254318006,0.434540265,0.221918641,0.163767958,0.523276472,0.019810963,0.291422993,0.241183527,0.26099449,0.670412154,0.100803705,0.125183116
Blap,Blap_170,0,4,1,Workers 2011 to sister Queens 2012,673.25,586.25,0.738531991,0.01945078,0.745092407,0.732986707,0.752437487,0.800144588,0.072574498,0.060755354,0.941229568,0.030994195,0.869816276,0.847930347,0.878924542,0.855659953,0.087385592,0.039027056,0.752916173,0.022985348,0.78966331,0.777196337,0.800181685,0.842144422,0.076620529,0.038919329,0.58380966,0.013358928,0.593479285,0.574122796,0.587481724,0.724201907,0.066389721,0.123323093
Blap,Blap_180,0,6,1,Workers 2011 to sister Queens 2012,2056.13,328.1666667,0.866568088,0.219641031,0.473663845,0.071107992,0.290749023,0.35268421,0.024480033,0.964837719,0.844935275,0.23720163,0.44490066,0.034340459,0.271542089,0.323652626,0.036629799,0.955275734,0.876835131,0.188561805,0.518263639,0.107616264,0.296178069,0.387620395,0.060664568,0.803999647,0.642159778,0.097113958,0.436140531,0.082110756,0.179224714,0.506690878,0.044847654,0.486832965
Blap,Blap_191,0,3,1,Workers 2011 to sister Queens 2012,527.46,1004.333333,0.375440866,0.017749225,0.29238692,0.092844153,0.110593378,0.639865062,0.085309434,0.218468188,0.446615438,0.014833384,0.443408772,0.113285043,0.128118427,0.911118803,0.03749982,0.010570431,0.231221048,0.022471478,0.249406294,0.094559594,0.117031072,0.858724925,0.052147602,0.07442619,0.373480949,0.017721619,0.291521818,0.092448083,0.110169702,0.640434065,0.085059382,0.217159607
Blap,Blap_205,0,2,1,Workers 2011 to sister Queens 2012,640.94,256,0.9108601,0.047710862,0.832409363,0.826682675,0.874393537,0.850187966,0.088829665,0.028809942,0.913523121,0.048801326,0.833622154,0.82854806,0.877349386,0.852496548,0.09074397,0.027695784,0.786414465,0.025073665,0.661629038,0.644141967,0.669215632,0.760933958,0.087812108,0.154738277,0.527239001,0.015385408,0.438872973,0.410468256,0.425853664,0.726231644,0.096375533,0.096745072
Blap,Blap_211,0,1,1,Workers 2011 to sister Queens 2012,2689.61,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blap,Blap_230,0,1,1,Workers 2011 to sister Queens 2012,1741.04,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blap,Blap_231,0,1,1,Workers 2011 to sister Queens 2012,1065.33,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
